"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","31/120","158/9393",0.19620253164557,15.357753164557,20.7040883113949,6.80592427990458e-29,1.1842308247034e-26,1.11044027724759e-26,"5347/890/9700/891/701/9133/9212/991/113130/699/151648/995/157570/7272/993/4085/10403/23594/4998/8318/1111/983/57082/90381/4173/990/81620/9319/9088/9232/898",31
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","14/120","138/9393",0.101449275362319,7.94094202898551,9.3439237099871,1.99489614870663e-09,1.73555964937477e-07,1.62741527920804e-07,"6790/5347/9700/891/9133/991/699/151648/995/4085/983/9088/9232/898",14
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","11/120","110/9393",0.1,7.8275,8.19357458235057,1.36947364006514e-07,7.94294711237779e-06,7.44801453368758e-06,"6790/5347/890/891/9133/699/995/993/4085/983/9088",11
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","8/120","75/9393",0.106666666666667,8.34933333333333,7.26903498770947,4.63532924981676e-06,0.000201636822367029,0.000189072640453052,"891/9133/1111/51512/6241/983/898/5268",8
"Cellular Processes","Cell motility","hsa04814","Motor proteins","12/120","194/9393",0.0618556701030928,4.84175257731959,6.15062829655839,6.43538977994825e-06,0.000223951564342199,0.000209996929661469,"9493/24137/3832/11004/9928/3833/146909/10112/1062/56992/347733/547",12
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","10/120","157/9393",0.0636942675159236,4.98566878980892,5.72886522112537,3.06672449891366e-05,0.000889350104684962,0.00083393385496775,"2305/890/891/9133/993/1111/983/4605/1978/898",10
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","10/120","224/9393",0.0446428571428571,3.49441964285714,4.29825399686862,0.000572102679252523,0.0142208380271341,0.0133347241028784,"890/9700/701/9133/991/4085/1111/9232/6513/898",10
