"ENSEMBL","ENTREZID","SYMBOL"
"ENSG00000120875","1846","DUSP4"
"ENSG00000145920","10814","CPLX2"
"ENSG00000155380","6566","SLC16A1"
"ENSG00000249395","101805492","CASC9"
"ENSG00000174343","55584","CHRNA9"
"ENSG00000001084","2729","GCLC"
"ENSG00000169297","190","NR0B1"
"ENSG00000262406","4321","MMP12"
"ENSG00000249628","100292680","LINC00942"
"ENSG00000183098","10082","GPC6"
"ENSG00000029153","56938","BMAL2"
"ENSG00000133477","113828","FAM83F"
"ENSG00000112541","10846","PDE10A"
"ENSG00000112541","90632","LINC00473"
"ENSG00000171759","5053","PAH"
"ENSG00000096696","1832","DSP"
"ENSG00000115828","25797","QPCT"
"ENSG00000021826","1373","CPS1"
"ENSG00000170558","1000","CDH2"
"ENSG00000019186","1591","CYP24A1"
"ENSG00000172927","26579","MYEOV"
"ENSG00000186529","4051","CYP4F3"
"ENSG00000213401","4111","MAGEA12"
"ENSG00000198930","158511","CSAG1"
"ENSG00000165731","5979","RET"
"ENSG00000115919","8942","KYNU"
"ENSG00000143512","79802","HHIPL2"
"ENSG00000185686","23532","PRAME"
"ENSG00000074211","5522","PPP2R2C"
"ENSG00000186474","43849","KLK12"
"ENSG00000163053","151473","SLC16A14"
"ENSG00000111432","11211","FZD10"
"ENSG00000104760","2267","FGL1"
"ENSG00000129437","43847","KLK14"
"ENSG00000179083","286499","FAM133A"
"ENSG00000057294","5318","PKP2"
"ENSG00000124466","27076","LYPD3"
"ENSG00000151632","1646","AKR1C2"
"ENSG00000171564","2244","FGB"
"ENSG00000137285","347733","TUBB2B"
"ENSG00000171560","2243","FGA"
"ENSG00000170689","3219","HOXB9"
"ENSG00000147381","4103","MAGEA4"
"ENSG00000131668","56033","BARX1"
"ENSG00000198074","57016","AKR1B10"
"ENSG00000123999","3623","INHA"
"ENSG00000169862","1501","CTNND2"
"ENSG00000147689","84985","FAM83A"
"ENSG00000132437","1644","DDC"
"ENSG00000130294","547","KIF1A"
"ENSG00000074410","771","CA12"
"ENSG00000019505","57586","SYT13"
"ENSG00000263711","400655","LINC02864"
"ENSG00000127831","7429","VIL1"
"ENSG00000091513","7018","TF"
"ENSG00000173702","56667","MUC13"
"ENSG00000089199","1114","CHGB"
"ENSG00000130600","283120","H19"
"ENSG00000163993","6286","S100P"
"ENSG00000205420","3853","KRT6A"
"ENSG00000122133","5047","PAEP"
"ENSG00000187134","1645","AKR1C1"
"ENSG00000176153","2877","GPX2"
"ENSG00000171557","2266","FGG"
