"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007292","female gamete generation","13/215","176/18860",0.0738636363636364,6.47938689217759,7.84243156154774,1.18367937489601e-07,2.48980834029851e-06,2.10527366133955e-06,"AURKA/PLK1/CCNB1/CCNB2/NCAPH/SKA3/SKA1/TTK/NDC80/TOP2A/ASPM/HROB/TRIP13",13
"GO:0007056","spindle assembly involved in female meiosis","5/215","12/18860",0.416666666666667,36.5503875968992,13.2281677270572,1.36385626195909e-07,2.84428143519674e-06,2.40500069585229e-06,"AURKA/CCNB2/SKA3/SKA1/NDC80",5
"GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","9/215","73/18860",0.123287671232877,10.8149092067537,9.02228133466456,1.41942034871685e-07,2.9350725854823e-06,2.48176974441127e-06,"PLK1/AURKB/ORC1/CHEK1/CDK1/TICRR/CDC6/CLSPN/PKMYT1",9
"GO:0007098","centrosome cycle","12/215","150/18860",0.08,7.01767441860465,7.94574803250051,1.53776035818655e-07,3.15305485207998e-06,2.66608606992095e-06,"AURKA/PLK1/NEK2/KIF11/SGO1/NDC80/CHEK1/CDK1/PLK4/KIF15/SLC16A1/CSAG1",12
"GO:1902750","negative regulation of cell cycle G2/M phase transition","9/215","75/18860",0.12,10.526511627907,8.87679724457982,1.80050355947487e-07,3.66102390426557e-06,3.09560261102697e-06,"PLK1/AURKB/ORC1/CHEK1/CDK1/TICRR/CDC6/CLSPN/PKMYT1",9
"GO:0033260","nuclear DNA replication","7/215","41/18860",0.170731707317073,14.9767441860465,9.62048662218447,3.67084710879848e-07,7.40236937642007e-06,6.25912164701611e-06,"RAD51/CDC45/CDK1/MCM4/CDT1/GINS1/TK1",7
"GO:0031023","microtubule organizing center organization","12/215","163/18860",0.0736196319018405,6.45798259380796,7.51514476505615,3.80019645107174e-07,7.60039290214348e-06,6.4265617291636e-06,"AURKA/PLK1/NEK2/KIF11/SGO1/NDC80/CHEK1/CDK1/PLK4/KIF15/SLC16A1/CSAG1",12
"GO:0090235","regulation of metaphase plate congression","5/215","15/18860",0.333333333333333,29.2403100775194,11.7493647389797,5.0288844649535e-07,9.89554685039236e-06,8.36724410128086e-06,"AURKB/BIRC5/SPAG5/CDCA8/CDK1",5
"GO:1904666","regulation of ubiquitin protein ligase activity","5/215","15/18860",0.333333333333333,29.2403100775194,11.7493647389797,5.0288844649535e-07,9.89554685039236e-06,8.36724410128086e-06,"PLK1/CDC20/MAD2L1/UBE2S/UBE2C",5
"GO:0000725","recombinational repair","13/215","201/18860",0.0646766169154229,5.6734930001157,7.15307550443057,5.49220546432153e-07,1.07207850663556e-05,9.06502965058543e-06,"PLK1/RAD51AP1/PARPBP/RAD51/CDC45/CHEK1/GINS2/MCM4/GINS4/RAD54L/HROB/POLQ/UHRF1",13
"GO:0051785","positive regulation of nuclear division","8/215","63/18860",0.126984126984127,11.1391657438169,8.65616632914779,5.66045632884311e-07,1.09615186050613e-05,9.26858346243316e-06,"AURKA/ESPL1/SKA3/CDC20/RAD51AP1/SKA1/DLGAP5/UBE2C",8
"GO:0006310","DNA recombination","17/215","358/18860",0.0474860335195531,4.16551903338963,6.49343459600227,8.03364864406885e-07,1.54347265287622e-05,1.30509335618524e-05,"PLK1/RAD51AP1/PARPBP/EXO1/RAD51/KPNA2/CDC45/CHEK1/GINS2/TOP2A/MCM4/GINS4/RAD54L/HROB/POLQ/TRIP13/UHRF1",17
"GO:0030261","chromosome condensation","7/215","46/18860",0.152173913043478,13.3488372093023,9.00454510511813,8.32737604303308e-07,1.58740605820318e-05,1.34224153325204e-05,"PLK1/NCAPG/CCNB1/NCAPH/CDK1/TOP2A/NCAPG2",7
"GO:0045840","positive regulation of mitotic nuclear division","7/215","47/18860",0.148936170212766,13.0648193963384,8.89279114668916,9.69062680620257e-07,1.8329557679949e-05,1.54986768993529e-05,"AURKA/ESPL1/SKA3/CDC20/SKA1/DLGAP5/UBE2C",7
"GO:0051382","kinetochore assembly","5/215","17/18860",0.294117647058824,25.8002735978112,10.985081288463,1.01715355818434e-06,1.90911898613061e-05,1.61426799517515e-05,"CENPA/DLGAP5/CENPW/CENPE/CENPF",5
"GO:0051052","regulation of DNA metabolic process","20/215","497/18860",0.0402414486921529,3.53001731318141,6.13800498390738,1.1352443989867e-06,2.11450101795996e-05,1.78793011009557e-05,"PLK1/FOXM1/CCNA2/NEK2/AURKB/RAD51AP1/PARPBP/DSCC1/ESCO2/CDC25A/RAD51/KPNA2/CHEK1/CDK1/TICRR/MCM4/CDC6/CDT1/POLQ/E2F7",20
"GO:0006275","regulation of DNA replication","10/215","120/18860",0.0833333333333333,7.31007751937984,7.44625475955872,1.17171083124995e-06,2.16588971837112e-05,1.83138216048637e-05,"CCNA2/DSCC1/ESCO2/CDC25A/CDK1/TICRR/MCM4/CDC6/CDT1/E2F7",10
