"","Stage I","Stage IA","Stage IB","Stage II","Stage IIA","Stage IIB","Stage IIIA","Stage IIIB","Stage IV","NA"
"1",5,93,96,1,28,44,40,5,14,6
"2",0,38,44,0,22,27,34,6,12,2
