"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.3009977392378,4.99485234958857,20.0098881621408,3.92169726618987e-67,4.39068427007335e-63,142.048897229143,"ENSG00000161800"
-2.18074612901353,3.45653148175733,-19.9980327287632,4.54240044493415e-67,4.39068427007335e-63,141.903206468793,"ENSG00000163075"
1.68246635413603,2.96188955766645,19.8115509208261,3.86907110362775e-66,2.49322941917772e-62,139.7785122556,"ENSG00000168078"
1.51335913921419,3.22410564968094,19.5686807192001,6.3346638312778e-65,3.06154302965656e-61,137.005681535392,"ENSG00000111665"
-2.31773970071645,7.18180571211703,-18.9844121061132,5.20882180226695e-62,2.01393886162849e-58,130.348229559474,"ENSG00000182795"
-2.7844745895501,4.98591449640582,-18.8174821942316,3.51005898305705e-61,1.13094100434098e-57,128.455861175441,"ENSG00000127249"
-1.61913307496879,3.85836443240231,-18.6473420046463,2.44284192833221e-60,6.74643145121691e-57,126.531497823441,"ENSG00000151623"
1.49963495700415,4.28468942540235,18.5178406206605,1.06663873422297e-59,2.57753250124981e-56,125.069527879374,"ENSG00000087586"
1.49288753385062,2.54566527958965,18.4105190610036,3.59269408358125e-59,7.71710689153253e-56,123.864966494881,"ENSG00000115163"
1.47157301033484,4.1203582412323,18.3214259016952,9.92969838098217e-59,1.91960929101147e-55,122.856625236629,"ENSG00000166851"
1.71763224299533,4.44937236999215,18.2828473034702,1.54366555122196e-58,2.71292203965662e-55,122.419015800223,"ENSG00000111206"
-2.04761473321432,7.28473795209384,-18.271618847043,1.75341197447018e-58,2.82474669087146e-55,122.292647475147,"ENSG00000069122"
1.81156512376197,5.34894863290534,18.0370257569545,2.50064727541788e-57,3.71865485602911e-54,119.656686431814,"ENSG00000088325"
1.50639845379912,3.89591142366332,17.9792967347843,4.78988447363017e-57,6.53778647156711e-54,119.012001317768,"ENSG00000145386"
1.55502491657499,3.46645995656241,17.9741536114419,5.07277038451824e-57,6.53778647156711e-54,118.955082784096,"ENSG00000109805"
1.28985882993397,3.56526108499551,17.9324647617246,8.09311991736103e-57,9.77851214015147e-54,118.491733071638,"ENSG00000198826"
1.63623757245446,3.31081200009094,17.8638412525047,1.76627339054667e-56,2.00856454035577e-53,117.717682402917,"ENSG00000135451"
1.58300524741626,3.62372138292267,17.8518975608297,2.0210811816752e-56,2.17064118911916e-53,117.584019379132,"ENSG00000135476"
1.63427311613248,3.65822151402819,17.7843180012645,4.33587173943147e-56,4.41163539298364e-53,116.826956553447,"ENSG00000123485"
1.4726605074334,5.0718401441604,17.7687016809782,5.1721367880575e-56,4.99938741933638e-53,116.652033245784,"ENSG00000134057"
1.43356218600067,2.54985135161256,17.6468895156872,2.02399283240455e-55,1.86322997314499e-52,115.298740631947,"ENSG00000129195"
1.28892327074835,2.57169230613835,17.6389195353625,2.21382786984691e-55,1.9453509263582e-52,115.209821264836,"ENSG00000184661"
1.57314830316501,3.67448666308416,17.6004094168894,3.43516490983244e-55,2.88733078421221e-52,114.774108361124,"ENSG00000117650"
1.15612988991473,5.85341867244177,17.5877029148508,3.94083853589912e-55,3.13086394904633e-52,114.63786307152,"ENSG00000065911"
1.14053406300348,2.34720803565002,17.5852255295472,4.04881019688383e-55,3.13086394904633e-52,114.611048598964,"ENSG00000152253"
1.42868058644503,3.39224634712548,17.5100255132448,9.42998645817299e-55,7.01155762343847e-52,113.772487542518,"ENSG00000156970"
1.52960040804452,4.24134248329469,17.4806799384132,1.31874474973654e-54,9.44221240811362e-52,113.439899582158,"ENSG00000138180"
1.42699024674443,3.94378244869649,17.4051782089339,3.06514301165402e-54,2.11626231076055e-51,112.603358821791,"ENSG00000137807"
1.40462076337561,4.08071118716794,17.3573448152478,5.24102255889762e-54,3.49377407271065e-51,112.071329384135,"ENSG00000157456"
1.44095135040228,3.68103978402429,17.3140376186752,8.50319255845986e-54,5.47945728467154e-51,111.591359503529,"ENSG00000121152"
1.53330165001969,3.39832127148878,17.3088694801278,9.01717293170019e-54,5.62322539082671e-51,111.533157150231,"ENSG00000143228"
1.27935750662102,2.75864565463133,17.2877964497938,1.13682646558855e-53,6.86785288523681e-51,111.303330223247,"ENSG00000165480"
1.42453215407951,2.99354265024427,17.2777476208619,1.27206067389884e-53,7.34373843125245e-51,111.191853314364,"ENSG00000100526"
1.53700108076926,3.03132685982861,17.2766719936703,1.29157410853809e-53,7.34373843125245e-51,111.176777865405,"ENSG00000024526"
0.988099495252349,3.94687307027161,17.2012316545255,2.99178058381311e-53,1.65248863560786e-50,110.343632024554,"ENSG00000128944"
1.53935794359368,3.49138011217745,17.0338482890697,1.94536963651792e-52,1.04466349481013e-49,108.486872447165,"ENSG00000178999"
0.726899349658345,0.954894216261532,16.9545351700169,4.67908208098587e-52,2.44475715647618e-49,107.616401019108,"ENSG00000196550"
1.43548813502809,4.14188744476878,16.8794759934238,1.08369817216978e-51,5.51317185904902e-49,106.78349806613,"ENSG00000068489"
1.72382736244811,4.88971757477152,16.7916020147344,2.87530804289816e-51,1.42526807911044e-48,105.815767934302,"ENSG00000089685"
-1.57682145876802,6.17623597788258,-16.7805225052319,3.25114189616677e-51,1.5712768784174e-48,105.693935239512,"ENSG00000115525"
1.57136221043263,3.95797945170587,16.773471305717,3.51547593737394e-51,1.65758977612959e-48,105.61641179033,"ENSG00000090889"
